日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/25,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3137,,    ,,810,,17798,,売掛の入金　手数料売上,㈱SHUHEI,,
2024/10/25,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3097,,    ,,810,,15114,,売掛の入金　手数料売上,不二プラント工業,,
2024/10/25,,,1112,普通預金,2,,    ,,810,,1142,売掛金,34,,    ,,810,,2827,,売掛の入金　手数料売上,シエスタ・オキシジェノ,,
2024/10/27,,,6220,支払手数料,    ,,0,共通部門,310,10,1142,売掛金,3008,,    ,,810,,540,54,振込手数料相殺,板垣電子工業,,
2024/10/28,,,1112,普通預金,2,,    ,,810,,1142,売掛金,2026,,    ,,810,,1177110,,売掛の入金　手数料売上,三友商事,,
2024/10/28,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3120,,    ,,810,,6017,,売掛の入金　手数料売上,リィー・サンク,,
2024/10/28,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3192,,    ,,810,,19800,,売掛の入金　手数料売上,㈱NTプラス,,
2024/10/28,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3169,,    ,,810,,5621,,売掛の入金　手数料売上,やきとりおしどり　,,
2024/10/29,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3178,,    ,,810,,1650,,売掛の入金　手数料売上,福吉塗装,,
2024/10/29,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3079,,    ,,810,,2332,,売掛の入金　手数料売上,㈲日成工業,,
2024/10/29,,,1101,現金,    ,,    ,,810,,1142,売掛金,3108,,    ,,810,,1650,,,㈲溝ノ口製麺渡辺商会,,
2024/10/29,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3043,,    ,,810,,6017,,売掛の入金　手数料売上,サニーサイド,,
2024/10/30,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3095,,    ,,810,,9801,,売掛の入金　手数料売上,フェイス　スズキ,,
2024/10/30,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3011,,    ,,810,,38544,,売掛の入金　手数料売上,イノベイションオブメディカル,,
2024/10/30,,,1112,普通預金,2,,    ,,810,,1142,売掛金,36,,    ,,810,,1650,,売掛の入金　手数料売上,Y-Bee　FARM　ヨシダ,,
2024/10/31,,,1112,普通預金,2,,    ,,810,,1142,売掛金,1019,,    ,,810,,1650,,売掛の入金　手数料売上,川崎オキシトン,,
